YEAR,POINT_LON,POINT_LAT,POINT_BALANCE,ALTITUDE_CLIMATE,ELEVATION_DIFFERENCE,POINT_ELEVATION,RGIId,POINT_ID,ID,N_MONTHS,MONTHS,aspect,slope,t2m,tp,slhf,sshf,ssrd,fal,str
2022,-71.4132942,-36.834797,-11.34,1175.0408935546875,1675.1751064453124,2850.216,RGI60-17.13045,B1,0,6,nov,4.722618103027344,0.4468679428100586,282.91015625,0.0007857121527194977,-6070985.0,-8909182.0,29207030.0,0.2261964976787567,-7138438.0
2022,-71.4132942,-36.834797,-11.34,1175.0408935546875,1675.1751064453124,2850.216,RGI60-17.13045,B1,0,6,dec,4.722618103027344,0.4468679428100586,286.708740234375,0.0008921981789171696,-5621875.0,-11652478.0,31848896.0,0.1944376677274704,-7765883.0
2022,-71.4132942,-36.834797,-11.34,1175.0408935546875,1675.1751064453124,2850.216,RGI60-17.13045,B1,0,6,jan,4.722618103027344,0.4468679428100586,286.497802734375,0.0008497731760144234,-4643900.0,-13107320.0,30782500.0,0.16719363629817963,-7547407.0
2022,-71.4132942,-36.834797,-11.34,1175.0408935546875,1675.1751064453124,2850.216,RGI60-17.13045,B1,0,6,feb,4.722618103027344,0.4468679428100586,286.342041015625,0.000883596483618021,-3513949.0,-12132404.0,27747924.0,0.14482839405536652,-7983862.0
2022,-71.4132942,-36.834797,-11.34,1175.0408935546875,1675.1751064453124,2850.216,RGI60-17.13045,B1,0,6,mar,4.722618103027344,0.4468679428100586,284.131103515625,0.000594956916756928,-3106384.0,-8918145.0,22504258.0,0.12870849668979645,-7610646.0
2022,-71.4132942,-36.834797,-11.34,1175.0408935546875,1675.1751064453124,2850.216,RGI60-17.13045,B1,0,6,apr,4.722618103027344,0.4468679428100586,279.231201171875,0.011084187775850296,-2668205.0,-3535517.0,13539273.0,0.18920452892780304,-5165358.0
2022,-71.4132942,-36.834797,-11.34,1175.0408935546875,1675.1751064453124,2850.216,RGI60-17.13045,B1,0,6,may,4.722618103027344,0.4468679428100586,275.92041015625,0.004126985091716051,-2272874.0,-198843.0,11045850.0,0.26234155893325806,-5371644.0
2022,-71.4121187,-36.8343062,-12.58,1175.0408935546875,1709.1191064453124,2884.16,RGI60-17.13045,B2,1,3,feb,4.722618103027344,0.4468679428100586,286.342041015625,0.000883596483618021,-3513949.0,-12132404.0,27747924.0,0.14482839405536652,-7983862.0
2022,-71.4121187,-36.8343062,-12.58,1175.0408935546875,1709.1191064453124,2884.16,RGI60-17.13045,B2,1,3,mar,4.722618103027344,0.4468679428100586,284.131103515625,0.000594956916756928,-3106384.0,-8918145.0,22504258.0,0.12870849668979645,-7610646.0
2022,-71.4121187,-36.8343062,-12.58,1175.0408935546875,1709.1191064453124,2884.16,RGI60-17.13045,B2,1,3,apr,4.722618103027344,0.4468679428100586,279.231201171875,0.011084187775850296,-2668205.0,-3535517.0,13539273.0,0.18920452892780304,-5165358.0
2022,-71.4121187,-36.8343062,-12.58,1175.0408935546875,1709.1191064453124,2884.16,RGI60-17.13045,B2,1,3,may,4.722618103027344,0.4468679428100586,275.92041015625,0.004126985091716051,-2272874.0,-198843.0,11045850.0,0.26234155893325806,-5371644.0
2022,-71.4149804,-36.8373411,-8.67,1175.0408935546875,1572.1091064453126,2747.15,RGI60-17.13045,B3,2,6,nov,4.722618103027344,0.4468679428100586,282.91015625,0.0007857121527194977,-6070985.0,-8909182.0,29207030.0,0.2261964976787567,-7138438.0
2022,-71.4149804,-36.8373411,-8.67,1175.0408935546875,1572.1091064453126,2747.15,RGI60-17.13045,B3,2,6,dec,4.722618103027344,0.4468679428100586,286.708740234375,0.0008921981789171696,-5621875.0,-11652478.0,31848896.0,0.1944376677274704,-7765883.0
2022,-71.4149804,-36.8373411,-8.67,1175.0408935546875,1572.1091064453126,2747.15,RGI60-17.13045,B3,2,6,jan,4.722618103027344,0.4468679428100586,286.497802734375,0.0008497731760144234,-4643900.0,-13107320.0,30782500.0,0.16719363629817963,-7547407.0
2022,-71.4149804,-36.8373411,-8.67,1175.0408935546875,1572.1091064453126,2747.15,RGI60-17.13045,B3,2,6,feb,4.722618103027344,0.4468679428100586,286.342041015625,0.000883596483618021,-3513949.0,-12132404.0,27747924.0,0.14482839405536652,-7983862.0
2022,-71.4149804,-36.8373411,-8.67,1175.0408935546875,1572.1091064453126,2747.15,RGI60-17.13045,B3,2,6,mar,4.722618103027344,0.4468679428100586,284.131103515625,0.000594956916756928,-3106384.0,-8918145.0,22504258.0,0.12870849668979645,-7610646.0
2022,-71.4149804,-36.8373411,-8.67,1175.0408935546875,1572.1091064453126,2747.15,RGI60-17.13045,B3,2,6,apr,4.722618103027344,0.4468679428100586,279.231201171875,0.011084187775850296,-2668205.0,-3535517.0,13539273.0,0.18920452892780304,-5165358.0
2022,-71.4149804,-36.8373411,-8.67,1175.0408935546875,1572.1091064453126,2747.15,RGI60-17.13045,B3,2,6,may,4.722618103027344,0.4468679428100586,275.92041015625,0.004126985091716051,-2272874.0,-198843.0,11045850.0,0.26234155893325806,-5371644.0
2022,-71.4141606,-36.8360787,-12.39,1175.0408935546875,1620.8591064453126,2795.9,RGI60-17.13045,B4,3,6,nov,4.722618103027344,0.4468679428100586,282.91015625,0.0007857121527194977,-6070985.0,-8909182.0,29207030.0,0.2261964976787567,-7138438.0
2022,-71.4141606,-36.8360787,-12.39,1175.0408935546875,1620.8591064453126,2795.9,RGI60-17.13045,B4,3,6,dec,4.722618103027344,0.4468679428100586,286.708740234375,0.0008921981789171696,-5621875.0,-11652478.0,31848896.0,0.1944376677274704,-7765883.0
2022,-71.4141606,-36.8360787,-12.39,1175.0408935546875,1620.8591064453126,2795.9,RGI60-17.13045,B4,3,6,jan,4.722618103027344,0.4468679428100586,286.497802734375,0.0008497731760144234,-4643900.0,-13107320.0,30782500.0,0.16719363629817963,-7547407.0
2022,-71.4141606,-36.8360787,-12.39,1175.0408935546875,1620.8591064453126,2795.9,RGI60-17.13045,B4,3,6,feb,4.722618103027344,0.4468679428100586,286.342041015625,0.000883596483618021,-3513949.0,-12132404.0,27747924.0,0.14482839405536652,-7983862.0
2022,-71.4141606,-36.8360787,-12.39,1175.0408935546875,1620.8591064453126,2795.9,RGI60-17.13045,B4,3,6,mar,4.722618103027344,0.4468679428100586,284.131103515625,0.000594956916756928,-3106384.0,-8918145.0,22504258.0,0.12870849668979645,-7610646.0
2022,-71.4141606,-36.8360787,-12.39,1175.0408935546875,1620.8591064453126,2795.9,RGI60-17.13045,B4,3,6,apr,4.722618103027344,0.4468679428100586,279.231201171875,0.011084187775850296,-2668205.0,-3535517.0,13539273.0,0.18920452892780304,-5165358.0
2022,-71.4141606,-36.8360787,-12.39,1175.0408935546875,1620.8591064453126,2795.9,RGI60-17.13045,B4,3,6,may,4.722618103027344,0.4468679428100586,275.92041015625,0.004126985091716051,-2272874.0,-198843.0,11045850.0,0.26234155893325806,-5371644.0
2022,-71.4147986,-36.835262,-3.43,1175.0408935546875,1638.7891064453124,2813.83,RGI60-17.13045,B5,4,6,nov,4.722618103027344,0.4468679428100586,282.91015625,0.0007857121527194977,-6070985.0,-8909182.0,29207030.0,0.2261964976787567,-7138438.0
2022,-71.4147986,-36.835262,-3.43,1175.0408935546875,1638.7891064453124,2813.83,RGI60-17.13045,B5,4,6,dec,4.722618103027344,0.4468679428100586,286.708740234375,0.0008921981789171696,-5621875.0,-11652478.0,31848896.0,0.1944376677274704,-7765883.0
2022,-71.4147986,-36.835262,-3.43,1175.0408935546875,1638.7891064453124,2813.83,RGI60-17.13045,B5,4,6,jan,4.722618103027344,0.4468679428100586,286.497802734375,0.0008497731760144234,-4643900.0,-13107320.0,30782500.0,0.16719363629817963,-7547407.0
2022,-71.4147986,-36.835262,-3.43,1175.0408935546875,1638.7891064453124,2813.83,RGI60-17.13045,B5,4,6,feb,4.722618103027344,0.4468679428100586,286.342041015625,0.000883596483618021,-3513949.0,-12132404.0,27747924.0,0.14482839405536652,-7983862.0
2022,-71.4147986,-36.835262,-3.43,1175.0408935546875,1638.7891064453124,2813.83,RGI60-17.13045,B5,4,6,mar,4.722618103027344,0.4468679428100586,284.131103515625,0.000594956916756928,-3106384.0,-8918145.0,22504258.0,0.12870849668979645,-7610646.0
2022,-71.4147986,-36.835262,-3.43,1175.0408935546875,1638.7891064453124,2813.83,RGI60-17.13045,B5,4,6,apr,4.722618103027344,0.4468679428100586,279.231201171875,0.011084187775850296,-2668205.0,-3535517.0,13539273.0,0.18920452892780304,-5165358.0
2022,-71.4147986,-36.835262,-3.43,1175.0408935546875,1638.7891064453124,2813.83,RGI60-17.13045,B5,4,6,may,4.722618103027344,0.4468679428100586,275.92041015625,0.004126985091716051,-2272874.0,-198843.0,11045850.0,0.26234155893325806,-5371644.0
2023,-71.4121886,-36.8343589,-10.61,1175.0408935546875,1702.2891064453124,2877.33,RGI60-17.13045,B1,5,12,nov,4.722618103027344,0.4468679428100586,284.6904296875,0.0006162302452139556,-2630071.0,-1584989.0,9824525.0,0.24049551784992218,-3138639.0
2023,-71.4121886,-36.8343589,-10.61,1175.0408935546875,1702.2891064453124,2877.33,RGI60-17.13045,B1,5,12,dec,4.722618103027344,0.4468679428100586,286.689453125,0.00011543804430402815,-1786112.0,-3397261.0,10713631.0,0.1941828429698944,-3848566.5
