POINT_ID,FROM_DATE,TO_DATE,POINT_LON,POINT_LAT,POINT_ELEVATION,POINT_BALANCE,YEAR,RGIId,aspect,slope
B09,20221020,20230422,-70.099,-33.001,3277.0,-10.54,2023,RGI60-17.14088,0.4125577211380005,0.47607845067977905
U1,20090327,20090508,-70.341,-34.709,2598.0,-1.0,2009,RGI60-17.01218,1.2634832859039307,0.214375838637352
U2,20090328,20090508,-70.339,-34.706,2646.0,-1.12,2009,RGI60-17.01218,1.2634832859039307,0.214375838637352
U3,20090328,20090508,-70.335,-34.702,2733.0,-1.23,2009,RGI60-17.01218,1.2634832859039307,0.214375838637352
U4,20090328,20090508,-70.33,-34.694,2828.0,-1.25,2009,RGI60-17.01218,1.2634832859039307,0.214375838637352
U2,20090930,20091121,-70.339,-34.706,2646.0,-1.23,2009,RGI60-17.01218,1.2634832859039307,0.214375838637352
U4,20091002,20091121,-70.33,-34.694,2828.0,-0.81,2009,RGI60-17.01218,1.2634832859039307,0.214375838637352
U7,20091003,20091121,-70.331,-34.682,2939.0,-0.33,2009,RGI60-17.01218,1.2634832859039307,0.214375838637352
AB1,20101219,20110128,-70.343,-34.708,2521.0,-2.53,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
AB2,20101217,20110128,-70.341,-34.706,2623.0,-2.6,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
AB3,20101217,20110129,-70.337,-34.7,2686.0,-2.27,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
AB4,20101217,20110129,-70.331,-34.699,2741.0,-2.11,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
AB5,20101217,20110129,-70.329,-34.693,2781.0,-2.17,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
AB6,20101210,20110203,-70.337,-34.688,2904.0,-2.66,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
AB7,20101217,20110203,-70.329,-34.684,2894.0,-2.39,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
AB1,20110128,20110322,-70.343,-34.708,2521.0,-2.71,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
AB2,20110128,20110322,-70.341,-34.706,2623.0,-2.26,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
AB3,20110129,20110322,-70.337,-34.7,2686.0,-2.29,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
AB4,20110129,20110322,-70.331,-34.699,2741.0,-1.83,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
AB5,20110129,20110322,-70.329,-34.693,2781.0,-2.14,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
AB6,20110203,20110324,-70.337,-34.688,2904.0,-1.73,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
AB7,20110203,20110324,-70.329,-34.684,2894.0,-1.53,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
ACN1,20101213,20110202,-70.326,-34.665,3317.0,-2.07,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
ACN2,20101216,20110202,-70.326,-34.658,3393.0,-1.97,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
ACN3,20101213,20110202,-70.317,-34.654,3446.0,-1.55,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
ACN4,20101213,20110202,-70.314,-34.649,3530.0,-1.29,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
ACN5,20101216,20110202,-70.325,-34.644,3583.0,-1.26,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
